Nama Siswa,Pilihan Universitas Pertama,Pilihan Program Studi Pertama,Pilihan Universitas Kedua,Pilihan Program Studi Kedua,Skor
Student_001,Universitas Indonesia,Teknologi Bioproses,Universitas Indonesia,Teknik Elektro,700
Student_002,Universitas Indonesia,Gizi,Universitas Indonesia,Kesehatan Masyarakat,300
Student_003,Universitas Indonesia,Kesehatan Masyarakat,Universitas Airlangga,Farmasi,500
Student_004,Universitas Airlangga,Pendidikan Dokter,Universitas Airlangga,Kedokteran Hewan,350
Student_005,Universitas Airlangga,Ilmu Keperawatan,Universitas Airlangga,Pendidikan Dokter Gigi,476
Student_006,Universitas Indonesia,Teknik Mesin,Universitas Indonesia,Teknik Perkapalan,570
Student_007,Universitas Airlangga,Pendidikan Dokter,Universitas Indonesia,Sistem Informasi,623
Student_008,Universitas Airlangga,Biologi,Universitas Airlangga,Sistem Informasi,532
Student_009,Universitas Indonesia,Pendidikan Dokter,Universitas Airlangga,Ilmu Keperawatan,715
Student_010,Universitas Airlangga,Farmasi,Universitas Airlangga,Budidaya Perairan,663