Universitas,Prodi,Jenjang,Nilai Rata-Rata UTBK
Universitas Negeri Malang,Teknologi Rekayasa Otomotif,D4,0
Universitas Negeri Malang,Teknologi Rekayasa Pembangkit Energi,D4,0
Universitas Negeri Malang,Teknologi Rekayasa Sistem Elektronika,D4,0
Universitas Negeri Malang,Manajemen,S1,698
Universitas Negeri Malang,Psikologi,S1,693
Universitas Negeri Malang,Pendidikan Guru Sekolah Dasar,S1,681
Universitas Negeri Malang,Akuntansi,S1,666
Universitas Negeri Malang,Pendidikan Administrasi Perkantoran,S1,653
Universitas Negeri Malang,Ekonomi Dan Studi Pembangunan,S1,652
Universitas Negeri Malang,Desain Komunikasi Visual,S1,649
Universitas Negeri Malang,Bimbingan Dan Konseling,S1,635
Universitas Negeri Malang,Bahasa Dan Sastra Inggris,S1,627
Universitas Negeri Malang,Pendidikan Tata Boga,S1,619
Universitas Negeri Malang,Pendidikan Bahasa Inggris,S1,614
Universitas Negeri Malang,Pendidikan Tata Busana,S1,612
Universitas Negeri Malang,Pendidikan Sosiologi,S1,607
Universitas Negeri Malang,Bahasa Dan Sastra Indonesia,S1,601
Universitas Negeri Malang,"Pend. Bahasa, Sastra Indonesia & Daerah",S1,601
Universitas Negeri Malang,Administrasi Pendidikan,S1,599
Universitas Negeri Malang,Ilmu Perpustakaan,S1,597
Universitas Negeri Malang,Pendidikan Akuntansi,S1,597
Universitas Negeri Malang,Pendidikan Ekonomi,S1,597
Universitas Negeri Malang,"Pendidikan Jasmani, Kesehatan, Dan Rekreasi",S1,597
Universitas Negeri Malang,Pendidikan Bahasa Arab,S1,596
Universitas Negeri Malang,Pendidikan Geografi,S1,596
Universitas Negeri Malang,Geografi,S1,594
Universitas Negeri Malang,Pendidikan Ilmu Pengetahuan Sosial,S1,594
Universitas Negeri Malang,Pendidikan Sejarah,S1,594
Universitas Negeri Malang,Pendidikan Pancasila Dan Kewarganegaraan,S1,588
Universitas Negeri Malang,Pendidikan Guru Pend. Anak Usia Dini,S1,586
Universitas Negeri Malang,Pendidikan Tata Niaga,S1,583
Universitas Negeri Malang,Ilmu Sejarah,S1,580
Universitas Negeri Malang,Teknologi Pendidikan,S1,580
Universitas Negeri Malang,Pendidikan Luar Sekolah,S1,577
Universitas Negeri Malang,Pendidikan Kepelatihan Olahraga,S1,576
Universitas Negeri Malang,Pendidikan Luar Biasa,S1,575
Universitas Negeri Malang,Pendidikan Seni Rupa,S1,568
Universitas Negeri Malang,Pendidikan Bahasa Jerman,S1,561
Universitas Negeri Malang,Pendidikan Bahasa Mandarin,S1,557
Universitas Negeri Malang,Pendidikan Seni Tari Dan Musik,S1,551
Universitas Negeri Malang,Akuntansi,D4,0
Universitas Negeri Malang,Animasi,D4,0
Universitas Negeri Malang,Desain Mode,D4,0
Universitas Negeri Malang,Manajemen Pemasaran,D4,0
Universitas Negeri Malang,Perpustakaan Digital,D4,0
Universitas Negeri Malang,Tata Boga,D4,0
Institut Teknologi Bandung,FAK. ILMU DAN TEKNOLOGI KEBUMIAN (FITB),S1,684
Institut Teknologi Bandung,FAK. TEKNIK PERTAMB. & PERMINYAKAN (FTTM),S1,712
Institut Teknologi Bandung,FAKULTAS TEKNIK SIPIL & LINGKUNGAN (FTSL) – KAMPUS GANESA,S1,702
Institut Teknologi Bandung,SEKOLAH FARMASI (SF),S1,697
Institut Teknologi Bandung,SEKOLAH ILMU & TEKNO. HAYATI – PROG. SAINS,S1,635
Institut Teknologi Bandung,FAKULTAS TEKNOLOGI INDUSTRI (FTI) – KAMPUS GANESA,S1,700
Institut Teknologi Bandung,FAKULTAS TEKNIK MESIN & DIRGANTARA (FTMD),S1,705
Institut Teknologi Bandung,"SEK. ARSITEKTUR, PERENC & PENGEMB KEBIJAKAN",S1,702
Institut Teknologi Bandung,SEKOLAH ILMU & TEKNO HAYATI – PROG REKAYASA,S1,666
Institut Teknologi Bandung,FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN (FTSL) – KAMPUS JATINANGOR,S1,661
Institut Teknologi Bandung,FAKULTAS TEKNOLOGI INDUSTRI (FTI) – KAMPUS JATINANGOR,S1,0
Institut Teknologi Bandung,FAKULTAS TEKNOLOGI INDUSTRI (FTI) – KAMPUS CIREBON,S1,651
Institut Teknologi Bandung,"SEK. ARSITEKTUR, PERENC & PENGEMB KEBIJAKAN (SAPPK) – KAMPUS CIREBON",S1,646
Institut Teknologi Bandung,FAK. TEKNIK PERTAMB. & PERMINYAKAN (FTTM) – KAMPUS CIREBON,S1,686
Institut Teknologi Bandung,FAKULTAS ILMU DAN TEKNOLOGI KEBUMIAN (FITB) – KAMPUS CIREBON,S1,615
Institut Teknologi Bandung,FMIPA-MATEMATIKA,S1,0
Institut Teknologi Bandung,FMIPA-ILMU PENGETAHUAN ALAM,S1,0
Institut Teknologi Bandung,SEKOLAH TEKNIK ELEKTRO DAN INFORMATIKA (STEI) – KOMPUTASI,S1,0
Institut Teknologi Bandung,SEKOLAH TEKNIK ELEKTRO DAN INFORMATIKA (STEI) – REKAYASA,S1,0
Institut Teknologi Bandung,FAKULTAS SENIRUPA DAN DESAIN (FSRD),S1,710
Institut Teknologi Bandung,SEKOLAH BISNIS DAN MANAJEMEN (SBM),S1,728
Institut Teknologi Bandung,FAKULTAS SENIRUPA DAN DESAIN (FSRD) – KAMPUS CIREBON,S1,612
Universitas Padjadjaran,Pendidikan Dokter,S1,737
Universitas Padjadjaran,Psikologi,S1,735
Universitas Padjadjaran,Teknik Informatika,S1,723
Universitas Padjadjaran,Farmasi,S1,710
Universitas Padjadjaran,Ilmu Keperawatan,S1,708
Universitas Padjadjaran,Pendidikan Dokter Gigi,S1,694
Universitas Padjadjaran,Agroteknologi,S1,666
Universitas Padjadjaran,Agribisnis,S1,654
Universitas Padjadjaran,Teknologi Pangan,S1,654
Universitas Padjadjaran,Statistika,S1,648
Universitas Padjadjaran,Teknik Geologi,S1,641
Universitas Padjadjaran,Ilmu Aktuaria,S1,634
Universitas Padjadjaran,Perikanan,S1,630
Universitas Padjadjaran,Teknik Pertanian,S1,629
Universitas Padjadjaran,Ilmu Kelautan,S1,627
Universitas Padjadjaran,Teknik Elektro,S1,626
Universitas Padjadjaran,Biologi,S1,625
Universitas Padjadjaran,Ilmu Peternakan,S1,625
Universitas Padjadjaran,Kedokteran Hewan,S1,623
Universitas Padjadjaran,Teknologi Industri Pertanian,S1,622
Universitas Padjadjaran,Matematika,S1,621
Universitas Padjadjaran,Kimia,S1,619
Universitas Padjadjaran,Geofisika,S1,610
Universitas Padjadjaran,Keperawatan Psdku Pangandaran,S1,595
Universitas Padjadjaran,Fisika,S1,581
Universitas Padjadjaran,Perikanan Psdku Pangandaran,S1,574
Universitas Padjadjaran,Peternakan Psdku Pangandaran,S1,549
Universitas Padjadjaran,Ilmu Hukum,S1,736
Universitas Padjadjaran,Manajemen,S1,734
Universitas Padjadjaran,Ilmu Komunikasi,S1,728
Universitas Padjadjaran,Ilmu Hubungan Internasional,S1,709
Universitas Padjadjaran,Akuntansi,S1,704
Universitas Padjadjaran,Bisnis Digital,S1,702
Universitas Padjadjaran,Ilmu Administrasi Bisnis,S1,699
Universitas Padjadjaran,Sastra Inggris,S1,699
Universitas Padjadjaran,Manajemen Komunikasi,S1,698
Universitas Padjadjaran,Televisi Dan Film,S1,694
Universitas Padjadjaran,Ilmu Pemerintahan,S1,655
Universitas Padjadjaran,Ilmu Kesejahteraan Sosial,S1,649
Universitas Padjadjaran,Ilmu Ekonomi,S1,648
Universitas Padjadjaran,Administrasi Publik,S1,647
Universitas Padjadjaran,Ekonomi Islam,S1,646
Universitas Padjadjaran,Hubungan Masyarakat,S1,645
Universitas Padjadjaran,Sastra Jepang,S1,642
Universitas Padjadjaran,Jurnalistik,S1,641
Universitas Padjadjaran,Ilmu Politik,S1,640
Universitas Padjadjaran,Sosiologi,S1,639
Universitas Padjadjaran,Ilmu Perpustakaan,S1,634
Universitas Padjadjaran,Sastra Indonesia,S1,633
Universitas Padjadjaran,Sastra Arab,S1,629
Universitas Padjadjaran,Antropologi,S1,623
Universitas Padjadjaran,Ilmu Sejarah,S1,619
Universitas Padjadjaran,Sastra Jerman,S1,617
Universitas Padjadjaran,Sastra Perancis,S1,615
Universitas Padjadjaran,Sastra Rusia,S1,612
Universitas Padjadjaran,Administrasi Bisnis Psdku Pangandaran,S1,611
Universitas Padjadjaran,Ilmu Komunikasi Psdku Pangandaran,S1,611
Universitas Padjadjaran,Sastra Sunda,S1,607
Universitas Sebelas Maret,Kedokteran,S1,724
Universitas Sebelas Maret,Psikologi,S1,716
Universitas Sebelas Maret,Informatika,S1,697
Universitas Sebelas Maret,Teknik Sipil,S1,688
Universitas Sebelas Maret,Farmasi,S1,685
Universitas Sebelas Maret,Arsitektur,S1,684
Universitas Sebelas Maret,Keselamatan Dan Kesehatan Kerja,D4,684
Universitas Sebelas Maret,Teknik Industri,S1,681
Universitas Sebelas Maret,Agribisnis,S1,658
Universitas Sebelas Maret,Ilmu dan Teknologi Pangan,S1,657
Universitas Sebelas Maret,Pendidikan Fisika,S1,654
Universitas Sebelas Maret,Teknik Mesin,S1,652
Universitas Sebelas Maret,Agroteknologi,S1,650
Universitas Sebelas Maret,Perencanaan Wilayah dan Kota,S1,647
Universitas Sebelas Maret,Statistika,S1,645
Universitas Sebelas Maret,Peternakan,S1,641
Universitas Sebelas Maret,Pendidikan Teknik Informatika & Komputer,S1,640
Universitas Sebelas Maret,Pendidikan Matematika,S1,626
Universitas Sebelas Maret,Teknik Kimia,S1,626
Universitas Sebelas Maret,Teknik Elektro,S1,625
Universitas Sebelas Maret,Matematika,S1,622
Universitas Sebelas Maret,Ilmu Tanah,S1,617
Universitas Sebelas Maret,Pendidikan Biologi,S1,614
Universitas Sebelas Maret,Biologi,S1,613
Universitas Sebelas Maret,Ilmu Lingkungan,S1,613
Universitas Sebelas Maret,Pengelolaan Hutan,S1,612
Universitas Sebelas Maret,Penyuluhan dan Komunikasi Pertanian,S1,610
Universitas Sebelas Maret,Pendidikan IPA,S1,609
Universitas Sebelas Maret,Kimia,S1,597
Universitas Sebelas Maret,Fisika,S1,596
Universitas Sebelas Maret,Pendidikan Teknik Bangunan,S1,565
Universitas Sebelas Maret,Pendidikan Teknik Mesin,S1,560
Universitas Sebelas Maret,Pendidikan Kimia,S1,556
Universitas Sebelas Maret,Kebidanan,S1,0
Universitas Sebelas Maret,Manajemen,S1,717
Universitas Sebelas Maret,Ilmu Hukum,S1,708
Universitas Sebelas Maret,Akuntansi,S1,699
Universitas Sebelas Maret,Ilmu Komunikasi,S1,699
Universitas Sebelas Maret,Pend. Guru Sekolah Dasar (PGSD) Surakarta,S1,687
Universitas Sebelas Maret,Demografi Dan Pencatatan Sipil,D4,684
Universitas Sebelas Maret,Ekonomi Pembangunan,S1,684
Universitas Sebelas Maret,Ilmu Administrasi Negara,S1,682
Universitas Sebelas Maret,Desain Komunikasi Visual,S1,668
Universitas Sebelas Maret,Sosiologi,S1,661
Universitas Sebelas Maret,Sastra Inggris,S1,655
Universitas Sebelas Maret,Hubungan Internasional,S1,649
Universitas Sebelas Maret,Bimbingan Dan Konseling,S1,648
Universitas Sebelas Maret,Pendidikan Administrasi Perkantoran,S1,645
Universitas Sebelas Maret,Pendidikan Bahasa Inggris,S1,628
Universitas Sebelas Maret,"Pend. Bahasa, Sastra Indonesia & Daerah",S1,624
Universitas Sebelas Maret,Sastra Indonesia,S1,624
Universitas Sebelas Maret,Pend. Guru Sekolah Dasar (PGSD) Kebumen,S1,620
Universitas Sebelas Maret,Pendidikan Sosiologi Antropologi,S1,615
Universitas Sebelas Maret,Pendidikan Ekonomi,S1,613
Universitas Sebelas Maret,"Pendidikan Jasmani, Kesehatan & Rekreasi",S1,613
Universitas Sebelas Maret,Ilmu Sejarah,S1,611
Universitas Sebelas Maret,Pendidikan Geografi,S1,611
Universitas Sebelas Maret,Desain Interior,S1,610
Universitas Sebelas Maret,Pend. Guru Pend Anak Usia Dini,S1,609
Universitas Sebelas Maret,Pendidikan Bahasa Jawa,S1,609
Universitas Sebelas Maret,Pendidikan Kepelatihan Olahraga,S1,605
Universitas Sebelas Maret,Pend. Pancasila & Kewarganegaraan,S1,601
Universitas Sebelas Maret,Pendidikan Sejarah,S1,598
Universitas Sebelas Maret,Sastra Arab,S1,598
Universitas Sebelas Maret,Pendidikan Luar Biasa,S1,597
Universitas Sebelas Maret,Pendidikan Akuntansi,S1,595
Universitas Sebelas Maret,Sastra Daerah Untuk Sastra Jawa,S1,562
Universitas Sebelas Maret,Pendidikan Seni Rupa,S1,545
Universitas Sebelas Maret,Desain Tekstil,S1,544
Universitas Sebelas Maret,Seni Rupa Murni,S1,536
Universitas Gadjah Mada,Kedokteran,S1,743.01
Universitas Gadjah Mada,Farmasi,S1,719.85
Universitas Gadjah Mada,Teknik Sipil,S1,714.67
Universitas Gadjah Mada,Teknologi Informasi,S1,712.25
Universitas Gadjah Mada,Gizi Kesehatan,S1,711.8
Universitas Gadjah Mada,Kedokteran Gigi,S1,707.64
Universitas Gadjah Mada,Ilmu Komputer,S1,699.65
Universitas Gadjah Mada,Arsitektur,S1,697.77
Universitas Gadjah Mada,Ilmu Keperawatan,S1,696.38
Universitas Gadjah Mada,Teknik Industri,S1,694.22
Universitas Gadjah Mada,Kehutanan,S1,693.66
Universitas Gadjah Mada,Teknik Mesin,S1,669.12
Universitas Gadjah Mada,Kedokteran Hewan,S1,663.4
Universitas Gadjah Mada,Teknologi Pangan Dan Hasil Pertanian,S1,659.66
Universitas Gadjah Mada,Statistika,S1,655.89
Universitas Gadjah Mada,Ilmu Dan Industri Peternakan,S1,654.32
Universitas Gadjah Mada,Manajemen Informasi Kesehatan,D4,653.88
Universitas Gadjah Mada,Teknik Kimia,S1,653.7
Universitas Gadjah Mada,Perencanaan Wilayah Dan Kota,S1,653.56
Universitas Gadjah Mada,Teknik Elektro,S1,650.36
Universitas Gadjah Mada,Biologi,S1,644.87
Universitas Gadjah Mada,Ekonomi Pertanian Dan Agribisnis,S1,642.86
Universitas Gadjah Mada,Teknik Geologi,S1,642.35
Universitas Gadjah Mada,Teknik Geodesi,S1,641.59
Universitas Gadjah Mada,Ilmu Aktuaria,S1,640.11
Universitas Gadjah Mada,Matematika,S1,639.46
Universitas Gadjah Mada,Teknik Biomedis,S1,637.02
Universitas Gadjah Mada,Higiene Gigi,S1,636.74
Universitas Gadjah Mada,Geografi Lingkungan,S1,636.54
Universitas Gadjah Mada,Kimia,S1,633.45
Universitas Gadjah Mada,Teknologi Rekayasa Perangkat Lunak,D4,632.96
Universitas Gadjah Mada,Teknik Pertanian,S1,632.39
Universitas Gadjah Mada,Teknik Nuklir,S1,632.18
Universitas Gadjah Mada,Teknologi Industri Pertanian,S1,632.14
Universitas Gadjah Mada,Teknik Fisika,S1,630.9
Universitas Gadjah Mada,Agronomi,D4,630.32
Universitas Gadjah Mada,Elektronika Dan Instrumentasi,S1,629.87
Universitas Gadjah Mada,Kartografi Dan Penginderaan Jauh,S1,629
Universitas Gadjah Mada,Pembangunan Wilayah,S1,626.25
Universitas Gadjah Mada,Ilmu Tanah,S1,625.79
Universitas Gadjah Mada,Teknik Pengelolaan Dan Pemeliharaan Infrastruktur Sipil,D4,625.49
Universitas Gadjah Mada,Geofisika,S1,619.19
Universitas Gadjah Mada,Proteksi Tanaman (Ilmu Hama Dan Penyakit Tumbuhan),S1,609.69
Universitas Gadjah Mada,Akuakultur (Budidaya Perikanan),S1,608.42
Universitas Gadjah Mada,Teknologi Rekayasa Pelaksanaan Bangunan Sipil,D4,608.31
Universitas Gadjah Mada,Teknologi Hasil Perikanan,S1,605.03
Universitas Gadjah Mada,Teknologi Rekayasa Mesin,D4,604.79
Universitas Gadjah Mada,Mikrobiologi Pertanian,S1,603.97
Universitas Gadjah Mada,Teknologi Rekayasa Internet,D4,593.44
Universitas Gadjah Mada,Fisika,S1,592.65
Universitas Gadjah Mada,Penyuluhan Dan Komunikasi Pertanian,S1,592.09
Universitas Gadjah Mada,Manajemen Sumberdaya Akuatik (Manajemen Sumber Daya Perikanan),S1,590.32
Universitas Gadjah Mada,Teknologi Rekayasa Elektro,D4,588.71
Universitas Gadjah Mada,Teknik Pengelolaan Dan Perawatan Alat Berat,D4,586.36
Universitas Gadjah Mada,Pengelolaan Hutan,D4,586.22
Universitas Gadjah Mada,Pengembangan Produk Agroindustri,D4,586.06
Universitas Gadjah Mada,Sistem Informasi Geografis,D4,584.93
Universitas Gadjah Mada,Teknologi Survei Dan Pemetaan Dasar,D4,584.32
Universitas Gadjah Mada,Teknologi Veteriner,D4,577.32
Universitas Gadjah Mada,Teknologi Rekayasa Instrumentasi Dan Kontrol,D4,571.2
Universitas Gadjah Mada,Psikologi,S1,744.11
Universitas Gadjah Mada,Hukum,S1,741.52
Universitas Gadjah Mada,Manajemen,S1,737.75
Universitas Gadjah Mada,Akuntansi,S1,715.64
Universitas Gadjah Mada,Ilmu Komunikasi,S1,715.55
Universitas Gadjah Mada,Ilmu Hubungan Internasional,S1,715.19
Universitas Gadjah Mada,Bahasa Dan Kebudayaan Korea,S1,696.01
Universitas Gadjah Mada,Pariwisata,S1,677.01
Universitas Gadjah Mada,Ilmu Ekonomi,S1,674.49
Universitas Gadjah Mada,Filsafat,S1,672.96
Universitas Gadjah Mada,Sastra Inggris,S1,671.51
Universitas Gadjah Mada,Manajemen Dan Kebijakan Publik,S1,669.16
Universitas Gadjah Mada,Pembangunan Sosial Dan Kesejahteraan,S1,662.01
Universitas Gadjah Mada,Pengelolaan Arsip Dan Rekaman Informasi,D4,659.1
Universitas Gadjah Mada,Sosiologi,S1,656.35
Universitas Gadjah Mada,Politik Dan Pemerintahan,S1,654.76
Universitas Gadjah Mada,Antropologi Budaya,S1,648.45
Universitas Gadjah Mada,Bisnis Perjalanan Wisata,D4,642.01
Universitas Gadjah Mada,Sastra Jepang,S1,640.77
Universitas Gadjah Mada,Bahasa Dan Sastra Indonesia,S1,637.55
Universitas Gadjah Mada,Sastra Arab,S1,637.39
Universitas Gadjah Mada,Arkeologi,S1,635.79
Universitas Gadjah Mada,Perbankan,D4,633.44
Universitas Gadjah Mada,Akuntansi Sektor Publik,D4,633.27
Universitas Gadjah Mada,Pembangunan Ekonomi Kewilayahan,D4,632.6
Universitas Gadjah Mada,Sejarah,S1,631.84
Universitas Gadjah Mada,Manajemen Dan Penilaian Properti,D4,631.16
Universitas Gadjah Mada,Bahasa Inggris,D4,621.17
Universitas Gadjah Mada,Sastra Prancis,S1,591.5
Universitas Gadjah Mada,Sastra Jawa,S1,591.34
Universitas Indonesia,Pendidikan Dokter,,754.16
Universitas Indonesia,Ilmu Komputer,,704.06
Universitas Indonesia,Sistem Informasi,,703.63
Universitas Indonesia,Ilmu Kesehatan Masyarakat,,684.43
Universitas Indonesia,Teknik Industri,,678.36
Universitas Indonesia,Arsitektur,,678.16
Universitas Indonesia,Farmasi,,673.62
Universitas Indonesia,Pendidikan Dokter Gigi,,673.13
Universitas Indonesia,Ilmu Keperawatan,,663.76
Universitas Indonesia,Teknik Komputer,,663.73
Universitas Indonesia,Gizi,,663.7
Universitas Indonesia,Teknik Sipil,,663.69
Universitas Indonesia,Teknik Mesin,,662.82
Universitas Indonesia,Arsitektur Interior,,654.08
Universitas Indonesia,Teknik Elektro,,653.61
Universitas Indonesia,Aktuaria,,653.25
Universitas Indonesia,Statistika,,643.77
Universitas Indonesia,Keselamatan Dan Kesehatan Kerja,,643.32
Universitas Indonesia,Teknik Kimia,,643.23
Universitas Indonesia,Matematika,,643.02
Universitas Indonesia,Teknik Lingkungan,,642.94
Universitas Indonesia,Teknik Metalurgi & Material,,642.85
Universitas Indonesia,Biologi,,632.99
Universitas Indonesia,Kimia,,632.8
Universitas Indonesia,Teknologi Bioproses,,632.79
Universitas Indonesia,Fisika,,632.76
Universitas Indonesia,Kesehatan Lingkungan,,632.75
Universitas Indonesia,Geologi,,632.74
Universitas Indonesia,Teknik Biomedis,,627.46
Universitas Indonesia,Geografi,,623.4
Universitas Indonesia,Teknik Perkapalan,,612.27
Universitas Indonesia,Geofisika,,607.11
Universitas Indonesia,Ilmu Hukum,,733.74
Universitas Indonesia,Ilmu Psikologi,,729.24
Universitas Indonesia,Manajemen,,714.07
Universitas Indonesia,Akuntansi,,704.71
Universitas Indonesia,Ilmu Komunikasi,,704.31
Universitas Indonesia,Kriminologi,,703.73
Universitas Indonesia,Ilmu Hubungan Internasional,,693.78
Universitas Indonesia,Ilmu Administrasi Negara,,679.69
Universitas Indonesia,Sastra Inggris,,678.96
Universitas Indonesia,Ilmu Administrasi Niaga,,678.57
Universitas Indonesia,Ilmu Ekonomi,,678.43
Universitas Indonesia,Bahasa Dan Kebudayaan Korea,,678.31
Universitas Indonesia,Ilmu Kesejahteraan Sosial,,663.65
Universitas Indonesia,Ilmu Administrasi Fiskal,,663.63
Universitas Indonesia,Ilmu Politik,,663.48
Universitas Indonesia,Sosiologi,,663.37
Universitas Indonesia,Sastra Jepang,,663.09
Universitas Indonesia,Bisnis Islam,,653.69
Universitas Indonesia,Ilmu Ekonomi Islam,,653.67
Universitas Indonesia,Antropologi Sosial,,653.45
Universitas Indonesia,Sastra Arab,,653.43
Universitas Indonesia,Ilmu Perpustakaan,,643.44
Universitas Indonesia,Ilmu Filsafat,,643.41
Universitas Indonesia,Sastra Indonesia,,643.32
Universitas Indonesia,Ilmu Sejarah,,643.31
Universitas Indonesia,Arkeologi Indonesia,,633.12
Universitas Indonesia,Sastra Cina,,632.89
Universitas Indonesia,Sastra Rusia,,632.84
Universitas Indonesia,Sastra Prancis,,627.17
Universitas Indonesia,Sastra Jerman,,624.12
Universitas Indonesia,Sastra Belanda,,607.43
Universitas Indonesia,Sastra Daerah Untuk Sastra Jawa,,607.34