Universitas,Program Studi,Passing Grade (persen)
Universitas Indonesia,Fisika,34.67
Universitas Indonesia,Teknologi Bioproses,32.03
Universitas Indonesia,Biologi,30.67
Universitas Indonesia,Gizi,30.17
Universitas Indonesia,Teknik Elektro,50.77
Universitas Indonesia,Arsitektur,45.67
Universitas Indonesia,Kesehatan Masyarakat,35.91
Universitas Indonesia,Arsitektur Interior,35.67
Universitas Indonesia,Geografi,32.56
Universitas Indonesia,Pendidikan Dokter,62.78
Universitas Indonesia,Ilmu Komputer,55.99
Universitas Indonesia,Teknik Metalurgi dan Material,42.38
Universitas Indonesia,Pendidikan Dokter Gigi,49.65
Universitas Indonesia,Matematika,40.50
Universitas Indonesia,Teknik Mesin,45.16
Universitas Indonesia,Teknik Industri,51.60
Universitas Indonesia,Kimia,36.83
Universitas Indonesia,Teknik Perkapalan,36.54
Universitas Indonesia,Farmasi,54.93
Universitas Indonesia,Teknik Komputer,45.26
Universitas Indonesia,Teknik Kimia,42.48
Universitas Indonesia,Sistem Informasi,42.38
Universitas Indonesia,Teknik Lingkungan,40.49
Universitas Indonesia,Teknik Sipil,44.09
Universitas Indonesia,Ilmu Keperawatan,43.00
Universitas Airlangga,Kesehatan Masyarakat,42.80
Universitas Airlangga,Ilmu Keperawatan,38.70
Universitas Airlangga,Budidaya Perairan,29.80
Universitas Airlangga,Farmasi,49.70
Universitas Airlangga,Pendidikan Kebidanan,37.20
Universitas Airlangga,Teknobiomedik,32.80
Universitas Airlangga,Matematika,37.80
Universitas Airlangga,Biologi,34.80
Universitas Airlangga,Ilmu dan Teknologi Lingkungan,34.50
Universitas Airlangga,Sistem Informasi,42.80
Universitas Airlangga,Fisika,37.80
Universitas Airlangga,Kimia,38.70
Universitas Airlangga,Pendidikan Dokter,58.61
Universitas Airlangga,Pendidikan Dokter Gigi,45.30
Universitas Airlangga,Statistik,38.70
Universitas Airlangga,Kedokteran Hewan,31.20